Date,AAPL,ADBE,AMZN,ASML,BKNG,CMCSA,COST,CRM,DIS,GOOGL,HD,KO,LOW,MCD,MDLZ,MSFT,NFLX,NKE,NTES,NVDA,ORCL,PEP,PG,PM,SBUX,T,TM,TMUS,TSM,UL,VZ,WMT
2009-01-20,919914800,8846200,135344000,2256900,2145600,47119800,7370300,11439200,19725000,201726072,20339500,28331800,10481400,11930300,11162800,89873000,5606300,14745600,3298000,70578800,34055200,8057700,17999300,9878900,15951400,45425910,1186500,1923650,16203012,1631300,23933429,22569400
2009-01-21,1089270000,9536900,116590000,2793000,1625300,44091000,6242200,9241200,17181900,196783020,19667200,23800600,13372400,10261400,23904500,68340900,8064000,13943600,4052000,64847200,56144800,8982200,18204700,10609200,24018800,50357810,1423800,2220250,23507050,1913200,18714795,39078400
2009-01-22,1409528400,13904200,142666000,2092000,1229000,45277400,6144900,7372400,16007900,330349320,22725600,23489400,16104100,10969400,16888500,222436600,7172900,14369600,3044500,54765600,36650800,8916100,19133700,9756100,21330600,39944286,1526200,1922800,54993700,1583000,19628549,31114400
2009-01-23,763770000,10483800,115866000,3105500,1435200,48113600,4906200,6079200,15436900,428882688,20867100,31255800,13104000,10266100,11483400,117020600,9434600,11378800,6164000,63361600,34362500,7818700,21067500,9972300,21011000,45169054,1802300,1969600,28746618,1016700,16291480,23091300
2009-01-26,692238400,6139300,143114000,2078500,987300,33289400,4091900,9273600,10840400,184243572,34329500,25210800,15559600,14106700,9172100,92476500,15659700,8005200,6401000,58174800,27890000,7619600,17032100,9750300,26235600,47786205,1073300,1631800,16830836,1168300,22147184,18882400
2009-01-27,618038400,6385500,174764000,2001900,961400,34616800,4085300,7326000,12696600,196894908,21691000,19822800,14432600,9992800,10557200,61695000,60159400,9689200,2079000,72530000,27379200,6763800,11962900,11807500,24077200,45933002,1280500,2284950,20461398,1519500,33535418,16478500
2009-01-28,861406000,7158500,161132000,3771100,1250300,45051000,5163300,12048000,13079500,307348344,20543500,18563600,19012300,11110700,10587700,64145500,18397400,11910800,3753000,72375200,32607600,5803800,17743200,9369300,38306000,74461098,882900,1539450,26320950,819200,26533950,24663700
2009-01-29,592729200,7692200,359336000,2715600,668000,40650400,4706600,8058400,11295500,291060648,18030700,21258400,10802000,9559400,9651800,49192800,24274600,8737600,2931000,41312800,27538600,5372400,14550300,9528900,37243800,58885032,1240900,1280450,19988847,1120900,17343204,18873100
2009-01-30,651478800,8970700,795662000,1617000,1396700,40911600,6682800,6169200,15484400,186693120,27041800,22607400,21416100,9660800,17533200,62370900,18736900,10670000,4934000,50676000,33537000,7582400,35110700,19184600,33160800,50411697,1010000,1132250,11847241,1305000,17744744,20614700
2009-02-02,558247200,8305500,386486000,2488600,1729700,28948000,4782600,9271200,16499500,208067724,17971800,15966800,14190500,7652100,11927800,88871700,15437100,10016400,3027000,57799200,25466300,5659900,19427200,11974800,19906800,35807977,975800,1701350,17830408,1261900,15420375,20861100
